Filename,FieldName,FieldAlias,Type,Length,Scale
区域用地评价图斑注记,下划线,ZJXH,Char,1,0
区域用地评价图斑注记,宽度,KD,Double,15,1
区域用地评价图斑注记,高度,GD,Double,15,1
区域用地评价图斑注记,间隔,JG,Float,6,2
区域用地评价图斑注记,注记点左下角X坐标,ZXJXZB,Double,15,3
区域用地评价图斑注记,注记点左下角Y坐标,ZXJYZB,Double,15,3
区域用地评价图斑注记,注记方向,ZJFX,Double,10,6
下辖县市区评价图斑,目标标识码,MBBSM,Int,10,0
下辖县市区评价图斑,要素代码,YSDM,Char,10,0
下辖县市区评价图斑,区域名称,QYMC,Char,60,0
下辖县市区评价图斑,区域代码,QYDM,Char,6,0
下辖县市区评价图斑,区域级别,QYJB,Char,10,0
下辖县市区评价图斑,区域评价对象,QYPJDX,Char,50,0
下辖县市区评价图斑,常住人口增长量,ZRKZL,Double,8,4
下辖县市区评价图斑,城乡建设用地增长量,CXYDZL,Double,12,6
下辖县市区评价图斑,总人口与城乡建设用地增长弹性系数,PEI1,Double,8,2
下辖县市区评价图斑,TDLYQSRK,TDLYQSRK,Char,50,0
下辖县市区评价图斑,CZRKZL,CZRKZL,Double,8,4
下辖县市区评价图斑,城镇工矿用地增长量,CGYDZL,Double,12,6
下辖县市区评价图斑,城镇人口与城镇工矿用地增长弹性系数,PEI2,Double,8,2
下辖县市区评价图斑,常住农村人口增长量,CNRKZL,Double,8,4
下辖县市区评价图斑,户籍农业人口增长量,HNRKZL,Double,8,4
下辖县市区评价图斑,村庄用地增长量,CZYDZL,Double,12,6
下辖县市区评价图斑,PEI3_1,PEI3_1,Double,8,2
下辖县市区评价图斑,PEI3_2,PEI3_2,Double,8,2
下辖县市区评价图斑,地区生产总值增长量(可比价),SCZZZZLK,Double,15,4
下辖县市区评价图斑,建设用地增长量,JSZZL,Double,12,6
下辖县市区评价图斑,地区生产总值与建设用地增长弹性系数,EEI1,Double,8,2
下辖县市区评价图斑,ECI1,ECI1,Double,8,2
下辖县市区评价图斑,TDLYQSJJ,TDLYQSJJ,Char,50,0
下辖县市区评价图斑,建设用地地均地区生产总值,EUII1,Double,8,2
下辖县市区评价图斑,单位工业用地工业增加值,EUII2,Double,8,2
下辖县市区评价图斑,单位人口增长消耗新增城乡建设用地量,PGCI1,Double,8,2
